icd_10_code,diagnosis_name
S5224,"Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
S75809D,"Bypass Right External Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
S0005XD,"Supplement Left Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
Y36260S,"Release Right Trunk Muscle, Open Approach"
S32426D,"Division of Left Glenoid Cavity, Percutaneous Approach"
T332XXA,"Supplement Left Tibia with Synthetic Substitute, Open Approach"
W16321,"Drainage of Right Maxillary Sinus, Percutaneous Approach, Diagnostic"
S06309A,"Restriction of Accessory Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening"
E103411,"Insertion of Intraluminal Device into Lower Vein, Open Approach"
S65012S,"Release Right Shoulder Bursa and Ligament, External Approach"
S82819A,"Insertion of Infusion Device into Right Femoral Region, Percutaneous Approach"
H04309,"Destruction of Left Tunica Vaginalis, Percutaneous Approach"
S14132A,"Resection of Uterus, Percutaneous Endoscopic Approach"
S3121XS,"Insertion of Endobronchial Valve into Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach"
R8299,"Revision of Infusion Device in Ureter, Open Approach"
T8372,"Bypass Right External Iliac Artery to Left Internal Iliac Artery, Open Approach"
S40279D,"Reattachment of Cul-de-sac, Open Approach"
H17811,"Revision of Synthetic Substitute in Lower Vein, Percutaneous Approach"
S63618,Stereotactic Gamma Beam Radiosurgery of Tongue
T83112D,"Drainage of Left Kidney with Drainage Device, Percutaneous Approach"
S06895S,"Drainage of Right Internal Mammary Lymphatic with Drainage Device, Percutaneous Endoscopic Approach"
T375X1,"Occlusion of Head Lymphatic, Open Approach"
S60861A,"Revision of Infusion Device in Left Toe Phalangeal Joint, External Approach"
T82120A,"Removal of Infusion Device from Right Metatarsal-Phalangeal Joint, Percutaneous Approach"
S92812B,"Removal of Autologous Tissue Substitute from Larynx, Via Natural or Artificial Opening Endoscopic"
S60352S,"Resection of Greater Omentum, Percutaneous Endoscopic Approach"
M84379P,"Bypass Left Anterior Chamber to Sclera, Percutaneous Approach"
T85620,"Extirpation of Matter from Left External Auditory Canal, Via Natural or Artificial Opening"
S66594,"Extirpation of Matter from Esophagogastric Junction, Open Approach"
S21101D,"Drainage of Left Lower Femur with Drainage Device, Open Approach"
B461,"Repair Left Anterior Tibial Artery, Open Approach"
S72066F,"Occlusion of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach"
S82265S,"Replacement of Left Shoulder Tendon with Synthetic Substitute, Open Approach"
S72391A,"Removal of Autologous Tissue Substitute from Neck, Percutaneous Approach"
Z409,"Destruction of Right Conjunctiva, External Approach"
T22132A,"Revision of Drainage Device in Endocrine Gland, Percutaneous Approach"
S52552F,"Supplement Left Carpal with Synthetic Substitute, Open Approach"
M5441,"Transfer Left Upper Arm Tendon, Open Approach"
S2020,"Drainage of Cystic Duct with Drainage Device, Via Natural or Artificial Opening Endoscopic"
S52126D,"Revision of Synthetic Substitute in Right Knee Joint, Patellar Surface, Percutaneous Endoscopic Approach"
T6592XS,"Control Bleeding in Gastrointestinal Tract, Percutaneous Approach"
T25199,"Repair Left Sphenoid Sinus, Percutaneous Endoscopic Approach"
S0211E,"Alteration of Right Lower Extremity with Synthetic Substitute, Percutaneous Endoscopic Approach"
